time,flux,cumulative_flux,normalised_flux,yCO2_bl,pressure
324191.30000019073,0.004412975936018764,1165.7054293840592,0.9798704333753668,0.0005857443999999999,198.701
324201.30000019073,0.004412975936018764,1165.7495591434194,0.9798704333753668,0.0005857443999999999,198.701
324211.30000019073,0.004417420973482631,1165.7937333531543,0.9808574228466983,0.0005863343999999999,198.923
324221.30000019073,0.004417420973482631,1165.837907562889,0.9808574228466983,0.0005863343999999999,198.701
324231.30000019073,0.004410753417286829,1165.8820150970619,0.9793769386397009,0.0005854494,198.701
324241.30000019073,0.0044151984547506976,1165.9261670816093,0.9803639281110326,0.0005860393999999999,198.701
324251.30000019073,0.004417420973482631,1165.970341291344,0.9808574228466983,0.0005863343999999999,198.923
324261.30000019073,0.004406315913784763,1166.0144044504818,0.9783916220318798,0.0005848603999999999,198.923
324271.30000019073,0.004417420973482631,1166.0585786602167,0.9808574228466983,0.0005863343999999999,198.701
324281.30000019073,0.0044151984547506976,1166.102730644764,0.9803639281110326,0.0005860393999999999,198.479
324291.30000019073,0.0044151984547506976,1166.1468826293114,0.9803639281110326,0.0005860393999999999,198.923
324301.30000019073,0.004412975936018764,1166.1910123886717,0.9798704333753668,0.0005857443999999999,198.923
324311.30000019073,0.004412975936018764,1166.2351421480319,0.9798704333753668,0.0005857443999999999,198.701
324321.30000019073,0.004417420973482631,1166.2793163577667,0.9808574228466983,0.0005863343999999999,198.923
324331.30000019073,0.004412975936018764,1166.3234461171269,0.9798704333753668,0.0005857443999999999,198.923
324341.30000019073,0.0044218660109465,1166.3676647772363,0.9818444123180299,0.0005869243999999999,198.701
324351.30000019073,0.004412975936018764,1166.4117945365965,0.9798704333753668,0.0005857443999999999,198.701
324361.30000019073,0.004419643492214565,1166.4559909715188,0.981350917582364,0.0005866293999999999,198.923
324371.30000019073,0.004408530898554894,1166.5000762805043,0.9788834439040347,0.0005851543999999999,198.701
324381.30000019073,0.004417420973482631,1166.5442504902392,0.9808574228466983,0.0005863343999999999,198.701
324391.30000019073,0.0044218660109465,1166.5884691503486,0.9818444123180299,0.0005869243999999999,199.145
324401.30000019073,0.004412975936018764,1166.6325989097088,0.9798704333753668,0.0005857443999999999,198.923
324411.30000019073,0.004412975936018764,1166.676728669069,0.9798704333753668,0.0005857443999999999,198.701
324421.30000019073,0.004412975936018764,1166.7208584284292,0.9798704333753668,0.0005857443999999999,198.701
324431.30000019073,0.004406315913784763,1166.764921587567,0.9783916220318798,0.0005848603999999999,198.701
324441.30000019073,0.004419643492214565,1166.8091180224892,0.981350917582364,0.0005866293999999999,198.923
324451.30000019073,0.0044151984547506976,1166.8532700070366,0.9803639281110326,0.0005860393999999999,198.923
324461.30000019073,0.004406315913784763,1166.8973331661743,0.9783916220318798,0.0005848603999999999,198.701
324471.30000019073,0.004417420973482631,1166.9415073759092,0.9808574228466983,0.0005863343999999999,198.701
324481.30000019073,0.004417420973482631,1166.985681585644,0.9808574228466983,0.0005863343999999999,198.923
324491.30000019073,0.004417420973482631,1167.0298557953788,0.9808574228466983,0.0005863343999999999,199.145
324501.30000019073,0.004408530898554894,1167.0739411043644,0.9788834439040347,0.0005851543999999999,198.701
324511.30000019073,0.004417420973482631,1167.1181153140992,0.9808574228466983,0.0005863343999999999,198.701
324521.30000019073,0.004419643492214565,1167.1623117490215,0.981350917582364,0.0005866293999999999,198.701
324531.30000019073,0.0044218660109465,1167.206530409131,0.9818444123180299,0.0005869243999999999,199.145
324541.30000019073,0.004412975936018764,1167.250660168491,0.9798704333753668,0.0005857443999999999,198.923
324551.30000019073,0.004412975936018764,1167.2947899278513,0.9798704333753668,0.0005857443999999999,198.923
324561.30000019073,0.0044218660109465,1167.3390085879607,0.9818444123180299,0.0005869243999999999,198.701
324571.30000019073,0.004424088529678434,1167.3832494732576,0.9823379070536958,0.0005872194,199.145
324581.30000019073,0.0044151984547506976,1167.427401457805,0.9803639281110326,0.0005860393999999999,198.701
324591.30000019073,0.004417420973482631,1167.4715756675398,0.9808574228466983,0.0005863343999999999,198.701
324601.30000019073,0.0044151984547506976,1167.5157276520872,0.9803639281110326,0.0005860393999999999,199.145
324611.30000019073,0.004419643492214565,1167.5599240870094,0.981350917582364,0.0005866293999999999,198.923
324621.30000019073,0.0044218660109465,1167.6041427471189,0.9818444123180299,0.0005869243999999999,199.145
324631.30000019073,0.004417420973482631,1167.6483169568537,0.9808574228466983,0.0005863343999999999,198.701
324641.30000019073,0.004406315913784763,1167.6923801159915,0.9783916220318798,0.0005848603999999999,199.145
324651.30000019073,0.0044218660109465,1167.736598776101,0.9818444123180299,0.0005869243999999999,199.145
324661.30000019073,0.0044218660109465,1167.7808174362103,0.9818444123180299,0.0005869243999999999,198.923
324671.30000019073,0.004412975936018764,1167.8249471955705,0.9798704333753668,0.0005857443999999999,198.923
324681.30000019073,0.004424088529678434,1167.8691880808674,0.9823379070536958,0.0005872194,199.145
324691.30000019073,0.004410753417286829,1167.9132956150402,0.9793769386397009,0.0005854494,198.701
324701.30000019073,0.004417420973482631,1167.957469824775,0.9808574228466983,0.0005863343999999999,198.923
324711.30000019073,0.004406315913784763,1168.0015329839127,0.9783916220318798,0.0005848603999999999,198.701
324721.30100011826,0.004412975936018764,1168.045667155929,0.9798704333753668,0.0005857443999999999,198.701
324731.30000019073,0.004410753417286829,1168.0897702796683,0.9793769386397009,0.0005854494,198.923
324741.30100011826,0.0044151984547506976,1168.1339266790942,0.9803639281110326,0.0005860393999999999,198.701
324751.30000019073,0.004412975936018764,1168.1780520257983,0.9798704333753668,0.0005857443999999999,198.701
324761.30000019073,0.004410753417286829,1168.222159559971,0.9793769386397009,0.0005854494,198.923
324771.30000019073,0.0044151984547506976,1168.2663115445184,0.9803639281110326,0.0005860393999999999,199.145
